Site_ID,Site_Name,Source
nwis_02160105,"TYGER RIVER NEAR DELTA, SC",USGS (Powell Center)
nwis_02160700,"ENOREE RIVER AT WHITMIRE, SC",USGS (Powell Center)
nwis_02168504,"SALUDA RIVER BELOW LK MURRAY DAM NR COLUMBIA, SC",USGS (Powell Center)
nwis_02169000,"SALUDA RIVER NEAR COLUMBIA, SC",USGS (Powell Center)
nwis_02203655,"SOUTH RIVER AT FORREST PARK ROAD, AT ATLANTA, GA",USGS (Powell Center)
nwis_02203700,"INTRENCHMENT CR AT CONSTITUTION RD, NR ATLANTA, GA",USGS (Powell Center)
nwis_02203863,"SHOAL CREEK AT COLUMBIA DRIVE NEAR ATLANTA, GA",USGS (Powell Center)
nwis_02203900,"SOUTH RIVER AT FLAKES MILL ROAD NR ATLANTA, GA",USGS (Powell Center)
nwis_02203950,"SNAPFINGER CREEK NEAR DECATUR, GA",USGS (Powell Center)
nwis_02203960,"SNAPFINGER CR AT THOMPSON MILL RD NR LITHONIA, GA",USGS (Powell Center)
nwis_02204037,"POLE BRIDGE CR AT EVANS MILL RD NEAR LITHONIA, GA",USGS (Powell Center)
nwis_02207160,"STONE MOUNTAIN CREEK AT GA 124, NEAR LITHONIA, GA",USGS (Powell Center)
nwis_02208450,"ALCOVY RIVER ABOVE COVINGTON, GA",USGS (Powell Center)
nwis_02208493,"CORNISH CREEK AT HAZELBRAND RD NR COVINGTON, GA",USGS (Powell Center)
nwis_02217643,"PARKS CREEK AT LYLE FIELD RD NR JEFFERSON, GA",USGS (Powell Center)
nwis_02234000,"ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL",USGS (Powell Center)
nwis_02234500,"ST. JOHNS RIVER NEAR SANFORD, FL",USGS (Powell Center)
nwis_02235500,"BLUE SPRINGS NEAR ORANGE CITY, FL",USGS (Powell Center)
nwis_02236000,"ST. JOHNS RIVER NEAR DE LAND, FL",USGS (Powell Center)
nwis_02264000,"CYPRESS CREEK AT VINELAND, FL",USGS (Powell Center)
nwis_02264100,"BONNET CREEK NEAR VINELAND, FL",USGS (Powell Center)
nwis_02266200,"WHITTENHORSE CREEK NEAR VINELAND, FL",USGS (Powell Center)
nwis_02266300,"REEDY CREEK NEAR VINELAND, FL",USGS (Powell Center)
nwis_02336300,"PEACHTREE CREEK AT ATLANTA, GA",USGS (Powell Center)
nwis_02336313,"WOODALL CREEK AT DEFOORS FERRY RD, AT ATLANTA, GA",USGS (Powell Center)
nwis_02336340,"NANCY CREEK AT JOHNSON FERRY RD, AT CHAMBLEE, GA",USGS (Powell Center)
nwis_02336360,"NANCY CREEK AT RICKENBACKER DRIVE, AT ATLANTA, GA",USGS (Powell Center)
nwis_02336410,"NANCY CREEK AT WEST WESLEY ROAD, AT ATLANTA, GA",USGS (Powell Center)
nwis_02336526,"PROCTOR CREEK AT JACKSON PARKWAY, AT ATLANTA, GA",USGS (Powell Center)
nwis_02336728,"UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA",USGS (Powell Center)
nwis_02337170,"CHATTAHOOCHEE RIVER NEAR FAIRBURN, GA",USGS (Powell Center)
nwis_02344630,"LINE CREEK BLW LAKE MCINTOSH, NR PEACHTREE CITY,GA",USGS (Powell Center)
nwis_02397530,"COOSA RIVER AT STATE LINE, AL/GA",USGS (Powell Center)
nwis_03034000,"Mahoning Creek at Punxsutawney, PA",USGS (Powell Center)
nwis_03061000,"WEST FORK RIVER AT ENTERPRISE, WV",USGS (Powell Center)
nwis_03067510,"SHAVERS FORK NR CHEAT BRIDGE, WV",USGS (Powell Center)
nwis_03183500,"GREENBRIER RIVER AT ALDERSON, WV",USGS (Powell Center)
nwis_03219500,Scioto River near Prospect OH,USGS (Powell Center)
nwis_03228300,Big Walnut Creek at Sunbury OH,USGS (Powell Center)
nwis_03292470,"HARRODS CREEK AT HIGHWAY 329 NR GOSHEN, KY.",USGS (Powell Center)
nwis_03292474,"GOOSE CREEK AT OLD WESTPORT RD NR ST MATTHEWS, KY",USGS (Powell Center)
nwis_03292475,"GOOSE CREEK AT US HWY 42 NEAR GLENVIEW ACRES, KY",USGS (Powell Center)
nwis_03292480,"LITTLE GOOSE CREEK NEAR HARRODS CREEK, KY",USGS (Powell Center)
nwis_03293000,"M FK BEARGRASS CR AT OLD CANNONS LN AT LOUISVILLE,",USGS (Powell Center)
nwis_03293500,"M FK BEARGRASS CR AT LEXINGTON RD AT LOUISVILLE,KY",USGS (Powell Center)
nwis_03293530,"MUDDY FK AT MOCKINGBIRD VALLEY RD AT LOUISVILLE,KY",USGS (Powell Center)
nwis_03298000,"FLOYDS FORK AT FISHERVILLE, KY",USGS (Powell Center)
nwis_03298135,"CHENOWETH RUN AT RUCKRIEGAL PARKWAY, KY",USGS (Powell Center)
nwis_03298150,"CHENOWETH RUN AT GELHAUS LANE NEAR FERN CREEK, KY",USGS (Powell Center)
nwis_03298250,"CEDAR CREEK AT THIXTON ROAD NEAR LOUISVILLE, KY",USGS (Powell Center)
nwis_03298300,PENNSLYVANIA RUN AT MT WASHINGTON RD NR LOUISVILLE,USGS (Powell Center)
nwis_03301900,"FERN CREEK AT OLD BARDSTOWN RD AT LOUISVILLE, KY",USGS (Powell Center)
nwis_03302000,"POND CREEK NEAR LOUISVILLE, KY",USGS (Powell Center)
nwis_03302030,"POND CREEK AT PENDLETON ROAD NEAR LOUISVILLE, KY",USGS (Powell Center)
nwis_03302050,"BRIER CREEK AT PENDELTON ROAD NEAR LOUISVILLE, KY",USGS (Powell Center)
nwis_03321500,"GREEN RIVER AT LOCK 1 AT SPOTTSVILLE, KY",USGS (Powell Center)
nwis_03346500,"EMBARRAS RIVER AT LAWRENCEVILLE, IL",USGS (Powell Center)
nwis_03353200,"EAGLE CREEK AT ZIONSVILLE, IN",USGS (Powell Center)
nwis_03353420,"SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN",USGS (Powell Center)
nwis_03374100,"WHITE RIVER AT HAZLETON, IN",USGS (Powell Center)
nwis_03408500,"NEW RIVER AT NEW RIVER, TN",USGS (Powell Center)
nwis_03409500,"CLEAR FORK NEAR ROBBINS, TN",USGS (Powell Center)
nwis_03538830,"OBED RIVER AT ADAMS BRIDGE NEAR CROSSVILLE, TN",USGS (Powell Center)
nwis_03539778,"CLEAR CREEK AT LILLY BRIDGE NEAR LANCING, TN",USGS (Powell Center)
nwis_04027000,"BAD RIVER NEAR ODANAH, WI",USGS (Powell Center)
nwis_04040000,"ONTONAGON RIVER NEAR ROCKLAND, MI",USGS (Powell Center)
nwis_04059500,"FORD RIVER NEAR HYDE, MI",USGS (Powell Center)
nwis_04067500,"MENOMINEE RIVER NEAR MC ALLISTER, WI",USGS (Powell Center)
nwis_04087050,"LITTLE MENOMONEE RIVER NEAR FREISTADT, WI",USGS (Powell Center)
nwis_04101500,"ST. JOSEPH RIVER AT NILES, MI",USGS (Powell Center)
nwis_04108660,"KALAMAZOO RIVER AT NEW RICHMOND, MI",USGS (Powell Center)
nwis_04119400,"GRAND RIVER NEAR EASTMANVILLE, MI",USGS (Powell Center)
nwis_04121944,"LITTLE MUSKEGON RIVER NEAR OAK GROVE, MI",USGS (Powell Center)
nwis_04121970,"MUSKEGON RIVER NEAR CROTON, MI",USGS (Powell Center)
nwis_04124000,"MANISTEE RIVER NEAR SHERMAN, MI",USGS (Powell Center)
nwis_04124200,"MANISTEE RIVER NEAR MESICK, MI",USGS (Powell Center)
nwis_04125460,"PINE RIVER AT HIGH SCHOOL BRIDGE NR HOXEYVILLE, MI",USGS (Powell Center)
nwis_04125550,"MANISTEE RIVER NEAR WELLSTON, MI",USGS (Powell Center)
nwis_04136000,"AU SABLE RIVER NEAR RED OAK, MI",USGS (Powell Center)
nwis_04136500,"AU SABLE RIVER AT MIO, MI",USGS (Powell Center)
nwis_04136900,"AU SABLE RIVER NEAR MC KINLEY, MI",USGS (Powell Center)
nwis_04137005,"AU SABLE RIVER NEAR CURTISVILLE, MI",USGS (Powell Center)
nwis_04137500,"AU SABLE RIVER NEAR AU SABLE, MI",USGS (Powell Center)
nwis_04142000,"RIFLE RIVER NEAR STERLING, MI",USGS (Powell Center)
nwis_041482663,"ALGER CREEK AT HILL ROAD NEAR SWARTZ CREEK, MI",USGS (Powell Center)
nwis_04166500,"RIVER ROUGE AT DETROIT, MI",USGS (Powell Center)
nwis_04176500,"RIVER RAISIN NEAR MONROE, MI",USGS (Powell Center)
nwis_04195500,Portage River at Woodville OH,USGS (Powell Center)
nwis_04200500,Black River at Elyria OH,USGS (Powell Center)
nwis_04208000,Cuyahoga River at Independence OH,USGS (Powell Center)
nwis_04213500,CATTARAUGUS CREEK AT GOWANDA NY,USGS (Powell Center)
nwis_04249000,"OSWEGO RIVER AT LOCK 7, OSWEGO NY",USGS (Powell Center)
nwis_05054000,"RED RIVER OF THE NORTH AT FARGO, ND",USGS (Powell Center)
nwis_05057000,"SHEYENNE RIVER NR COOPERSTOWN, ND",USGS (Powell Center)
nwis_05406469,"BREWERY CREEK-UPSTREAM SITE-AT CROSS PLAINS, WI",USGS (Powell Center)
nwis_05406479,"BLACK EARTH CK NR TREATMENT PLNT @ CROSS PLAINS,WI",USGS (Powell Center)
nwis_05406500,"BLACK EARTH CREEK AT BLACK EARTH, WI",USGS (Powell Center)
nwis_05420500,"Mississippi River at Clinton, IA",USGS (Powell Center)
nwis_05435943,"BADGER MILL CREEK AT VERONA, WI",USGS (Powell Center)
nwis_05435950,"SUGAR RIVER NEAR VERONA, WI",USGS (Powell Center)
nwis_05515500,"KANKAKEE RIVER AT DAVIS, IN",USGS (Powell Center)
nwis_05579630,"KICKAPOO CREEK NEAR BLOOMINGTON, IL",USGS (Powell Center)
nwis_05599490,"BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL",USGS (Powell Center)
nwis_06818000,"Missouri River at St. Joseph, MO",USGS (Powell Center)
nwis_06893350,"TOMAHAWK C NR OVERLAND PARK, KS",USGS (Powell Center)
nwis_06893620,"Rock Creek at Kentucky Road in Independence, MO",USGS (Powell Center)
nwis_06893820,Little Blue R. at Lees Summit Rd in Independence,USGS (Powell Center)
nwis_06893890,"East Fork Little Blue River near Blue Springs, MO",USGS (Powell Center)
nwis_06893970,"Spring Branch Ck at Holke Rd in Independence, MO",USGS (Powell Center)
nwis_06894000,"Little Blue River near Lake City, MO",USGS (Powell Center)
nwis_07048600,"White River near Fayetteville, AR",USGS (Powell Center)
nwis_07061270,"East Fork Black River near Lesterville, MO",USGS (Powell Center)
nwis_07061290,E. Fk. Black R. bl Lower Taum Sauk Reservoir,USGS (Powell Center)
nwis_07075250,"S Fk Lit Red Riv us of Gulf Mt WMA nr Scotland, AR",USGS (Powell Center)
nwis_07075270,"South Fork of Little Red River near Scotland, AR",USGS (Powell Center)
nwis_07109500,"ARKANSAS RIVER NEAR AVONDALE, CO.",USGS (Powell Center)
nwis_07143672,"L ARKANSAS R AT HWY 50 NR HALSTEAD, KS",USGS (Powell Center)
nwis_07144100,"L ARKANSAS R NR SEDGWICK, KS",USGS (Powell Center)
nwis_07164500,"Arkansas River at Tulsa, OK",USGS (Powell Center)
nwis_07177500,"Bird Creek near Sperry, OK",USGS (Powell Center)
nwis_07178200,"Bird Ck at State Highway 266 near Catoosa, OK",USGS (Powell Center)
nwis_071912213,"Spavinaw Creek near Colcord, OK",USGS (Powell Center)
nwis_07191222,"Beaty Creek near Jay, OK",USGS (Powell Center)
nwis_07239450,"North Canadian River near Calumet, OK",USGS (Powell Center)
nwis_07241550,"North Canadian River near Harrah, OK",USGS (Powell Center)
nwis_07263296,"Maumelle River near Wye, AR",USGS (Powell Center)
nwis_07332620,"Bois D'Arc Ck at FM 1396 nr Honey Grove, TX",USGS (Powell Center)
nwis_07332622,"Bois D'Arc Ck at FM 409 nr Honey Grove, TX",USGS (Powell Center)
nwis_07374000,"Mississippi River at Baton Rouge, LA",USGS (Powell Center)
nwis_07381600,"Lower Atchafalaya River at Morgan City, LA",USGS (Powell Center)
nwis_08049500,"W Fk Trinity Rv at Grand Prairie, TX",USGS (Powell Center)
nwis_08052700,"Little Elm Ck nr Aubrey, TX",USGS (Powell Center)
nwis_08052745,"Doe Br at US Hwy 380 nr Prosper, TX",USGS (Powell Center)
nwis_08057410,"Trinity Rv bl Dallas, TX",USGS (Powell Center)
nwis_08062500,"Trinity Rv nr Rosser, TX",USGS (Powell Center)
nwis_08065350,"Trinity Rv nr Crockett, TX",USGS (Powell Center)
nwis_08068000,"W Fk San Jacinto Rv nr Conroe, TX",USGS (Powell Center)
nwis_08068500,"Spring Ck nr Spring, TX",USGS (Powell Center)
nwis_08070200,"E Fk San Jacinto Rv nr New Caney, TX",USGS (Powell Center)
nwis_08171290,"Blanco Rv at Halifax Rch nr Kyle, TX",USGS (Powell Center)
nwis_08180700,"Medina Rv nr Macdona, TX",USGS (Powell Center)
nwis_08181500,"Medina Rv at San Antonio, TX",USGS (Powell Center)
nwis_08181800,"San Antonio Rv nr Elmendorf, TX",USGS (Powell Center)
nwis_08188060,"San Antonio Rv at SH 72 nr Runge, TX",USGS (Powell Center)
nwis_08211200,"Nueces Rv at Bluntzer, TX",USGS (Powell Center)
nwis_08375300,"Rio Grande at Rio Grande Village, Big Bnd NP, TX",USGS (Powell Center)
nwis_08412500,"Pecos Rv nr Orla, TX",USGS (Powell Center)
nwis_08437710,"Pecos Rv at RR 1776 nr Grandfalls, TX",USGS (Powell Center)
nwis_08446500,"Pecos Rv nr Girvin, TX",USGS (Powell Center)
nwis_08447000,"Pecos Rv nr Sheffield, TX",USGS (Powell Center)
nwis_08447300,"Pecos Rv at Brotherton Rh nr Pandale, TX",USGS (Powell Center)
nwis_09041400,"MUDDY CRK BLW WOLFORD MTN RESER. NR KREMMLING, CO",USGS (Powell Center)
nwis_09406000,"VIRGIN RIVER AT VIRGIN, UT",USGS (Powell Center)
nwis_10129900,"SILVER CREEK NEAR SILVER CREEK JUNCTION, UT",USGS (Powell Center)
nwis_10133650,"E CANYON CR BL I-80 REST STOP NR PARK CITY, UT",USGS (Powell Center)
nwis_10133800,"EAST CANYON CREEK NEAR JEREMY RANCH, UT",USGS (Powell Center)
nwis_10133980,"EAST CANYON CREEK AB EAST CYN RES NR MORGAN, UTAH",USGS (Powell Center)
nwis_11044000,SANTA MARGARITA R NR TEMECULA CA,USGS (Powell Center)
nwis_11128500,SANTA YNEZ R A SOLVANG CA,USGS (Powell Center)
nwis_11273400,SAN JOAQUIN R AB MERCED R NR NEWMAN CA,USGS (Powell Center)
nwis_11447650,SACRAMENTO R A FREEPORT CA,USGS (Powell Center)
nwis_11462500,RUSSIAN R NR HOPLAND CA,USGS (Powell Center)
nwis_11463980,RUSSIAN R A DIGGER BEND NR HEALDSBURG CA,USGS (Powell Center)
nwis_11467000,RUSSIAN R NR GUERNEVILLE CA,USGS (Powell Center)
nwis_12100490,"WHITE RIVER AT R STREET NEAR AUBURN, WA",USGS (Powell Center)
nwis_12102075,"CLARKS CREEK AT TACOMA ROAD NEAR PUYALLUP, WA",USGS (Powell Center)
nwis_13173600,SNAKE RIVER NR ADRIAN OR,USGS (Powell Center)
nwis_13213000,BOISE RIVER NR PARMA ID,USGS (Powell Center)
nwis_14206950,"FANNO CREEK AT DURHAM, OR",USGS (Powell Center)
nwis_14211010,"CLACKAMAS RIVER NEAR OREGON CITY, OR",USGS (Powell Center)
nwis_385446094430700,"INDIAN C AT 119TH ST, OVERLAND PARK, KS",USGS (Powell Center)
nwis_385608094380300,"INDIAN C AT INDIAN C PKWY, OVERLAND PARK, KS",USGS (Powell Center)
WI_BEC,Black Earth Creek,StreamPULSE
WI_BRW,Brewery Creek,StreamPULSE
