Site_ID,ERtot,depth,ERvolumetric
nwis_05420500,-7.190735422,5.547084996,-1.288143882
nwis_05435943,-5.709397693,0.274033396,-21.90074118
nwis_05435950,-5.200810939,0.481364183,-11.13793533
nwis_05515500,-2.451764317,1.030496574,-2.53073293
nwis_05579630,-3.836846932,0.225760429,-24.79457187
nwis_05599490,-4.944100127,1.610158997,-3.33492335
nwis_06818000,-6.180205844,4.620220857,-1.348853154
nwis_06893350,-1.43812334,0.159721679,-10.7463465
nwis_06893620,-1.295050083,0.080168027,-18.89281798
nwis_06893820,-1.167869239,0.26938711,-5.335998409
nwis_06893890,-1.863608109,0.184643067,-19.8051552
nwis_06893970,-0.814395485,0.094527832,-9.835565153
nwis_06894000,-0.617520022,0.348446055,-2.042165691
nwis_07048600,-3.499025719,0.664608332,-8.06388479
nwis_07061270,-0.701293024,0.21872164,-4.767248331
nwis_07061290,-3.186843351,0.292602657,-15.56276008
nwis_07075250,-0.635631531,0.193978081,-6.976138207
nwis_07075270,-0.432935877,0.262919147,-9.004181229
nwis_07109500,-14.97863548,2.150254033,-7.571936009
nwis_07143672,-2.773082484,0.585947127,-6.338101785
nwis_07144100,-4.352660692,0.776148792,-6.880054082
nwis_07164500,-9.651209802,4.064293755,-2.780309354
nwis_07177500,-1.564989287,0.789197992,-2.491129857
nwis_07178200,-1.295950684,0.828564461,-1.763967332
nwis_071912213,-4.707822064,0.489684953,-9.998441957
nwis_07191222,-3.358841816,0.211027279,-20.09797059
nwis_07239450,-12.65798925,1.678822444,-9.070372267
nwis_07241550,-8.975890963,2.527240052,-3.922690153
nwis_07263296,-2.393549992,0.301992501,-63.42558721
nwis_07332620,-1.203140468,0.374726922,-7.921997522
nwis_07332622,-1.224803552,0.378380399,-6.599515127
nwis_07374000,-7.581630815,21.33765521,-0.358646628
nwis_07381600,-6.658290977,13.16448609,-0.521853024
nwis_08049500,-4.875788295,1.400272887,-4.394226139
nwis_08052700,-0.776780383,0.179522137,-10.82798581
nwis_08052745,-5.075590541,0.41071146,-15.42448558
nwis_08057410,-2.726188572,2.496421092,-1.508070825
nwis_08062500,-1.798752871,1.697926033,-0.884045965
nwis_08065350,-5.54921704,1.735057579,-3.415649819
nwis_08068000,-3.441438239,0.771460047,-6.958663239
nwis_08068500,-3.478125383,0.523969578,-9.436453276
nwis_08070200,-1.830448968,0.432537304,-5.422913418
nwis_08171290,-3.481905708,0.596607211,-6.388363087
nwis_08180700,-6.529926741,0.653035701,-10.79664309
nwis_08181500,-4.188885103,0.802154653,-5.808962208
nwis_08181800,-2.832640418,0.947713744,-3.385958196
nwis_08188060,-3.275982261,1.10846557,-3.369542572
nwis_08211200,-3.839005836,1.398950486,-2.888190936
nwis_08375300,-3.107302116,0.722552963,-4.963946799
nwis_08412500,-9.924853494,1.358428309,-7.703882795
nwis_08437710,-30.22857004,2.587352649,-16.56329786
nwis_08446500,-25.12780343,2.896022601,-10.26001144
nwis_08447000,-10.46280993,3.936978717,-2.745446636
nwis_08447300,-10.47111509,2.593071204,-4.095893605
nwis_09041400,-1.599896533,0.404532068,-11.10853055
nwis_09406000,-0.334899766,0.563951388,-1.194249265
nwis_10129900,-5.463131723,0.148506395,-40.86714108
nwis_10133650,-2.828357417,0.200390937,-14.09682026
nwis_10133800,-3.230172325,0.239533573,-15.08953503
nwis_10133980,-0.552080852,0.276773844,-4.430019833
nwis_11044000,-5.334341546,0.602616703,-10.66920547
nwis_11128500,-9.970740046,0.392533579,-30.98028775
nwis_11273400,-10.63455827,1.690870999,-7.949713452
nwis_11447650,-4.930204533,3.048745544,-1.611036072
nwis_11462500,-2.03476303,0.535863682,-4.307328388
nwis_11463980,-2.327071639,0.463779248,-5.100234892
nwis_11467000,-1.393452566,0.714023433,-2.115340372
nwis_12100490,2.248933322,1.773581866,1.342174118
nwis_12102075,-4.175375698,0.486163508,-8.599990099
nwis_13173600,-16.25348139,7.288625951,-2.280763272
nwis_13213000,-12.59830494,2.188435539,-6.146679374
nwis_14206950,-1.932866785,0.330756601,-8.55946599
nwis_14211010,-2.166986347,1.45099068,-1.910195681
nwis_385446094430700,-1.08405584,0.109192993,-12.13695657
nwis_385608094380300,-0.873259735,0.219253577,-3.974891405
,,,
,,,
,,,
,,,
