Table S5: Literature Erwc values and unit conversions,,,,,,,,,,,,,,
Paper,River,Basin Station,Reported Value,Units,Rate Conversion,Depth,Units,Quotient,Equation,Conversion,Conversion Units,Time Conversion,Units,Corrected Value
Reisinger et al. (2021),Henry's Fork,,0.35,g O2/m2/d,-1,1.37,m,,,,,,,-0.26
Reisinger et al. (2021),North Platte River,,0.11,g O2/m2/d,-1,1.05,m,,,,,,,-0.10
Reisinger et al. (2021),Bear River,,0.74,g O2/m2/d,-1,0.97,m,,,,,,,-0.76
Reisinger et al. (2021),Green River,Ouray,0.75,g O2/m2/d,-1,0.63,m,,,,,,,-1.19
Reisinger et al. (2021),Green River,Gray Canyon,1.38,g O2/m2/d,-1,1.89,m,,,,,,,-0.73
Ward et al. (2018),Amazon,obidos at 0.66,12.3,g C/m2/d,-1,54,m,0.12,g C/gO2,,,,,-1.90
Ward et al. (2018),Amazon,obidos at 0.66,16.9,g C/m2/d,-1,49.3,m,0.12,g C/gO2,,,,,-2.86
Ward et al. (2018),Amazon,STM at 0.66,12.1,g C/m2/d,-1,37.3,m,0.12,g C/gO2,,,,,-2.70
Ward et al. (2018),Amazon,STM at 0.66,15.2,g C/m2/d,-1,37.3,m,0.12,g C/gO2,,,,,-3.40
Ward et al. (2018),Amazon,Almeirim at 0.66,8.6,g C/m2/d,-1,28.1,m,0.12,g C/gO2,,,,,-2.55
Ward et al. (2018),Amazon,Almeirim at 0.66,8.1,g C/m2/d,-1,30.6,m,0.12,g C/gO2,,,,,-2.21
Ward et al. (2018),Amazon,North Macapa at 0.66,4.8,g C/m2/d,-1,19.4,m,0.12,g C/gO2,,,,,-2.06
Ward et al. (2018),Amazon,North Macapa at 0.66,5.5,g C/m2/d,-1,18.3,m,0.12,g C/gO2,,,,,-2.50
Ward et al. (2018),Amazon,South Macapa at 0.66,6.9,g C/m2/d,-1,24.6,m,0.12,g C/gO2,,,,,-2.34
Ward et al. (2018),Amazon,South Macapa at 0.66,6.2,g C/m2/d,-1,24.3,m,0.12,g C/gO2,,,,,-2.13
Ward et al. (2018),Tapajos,0.66 m/s,12.8,g C/m2/d,-1,23.5,m,0.17,g C/gO2,,,,,-3.20
Ward et al. (2018),Tapajos,0.66 m/s,11.6,g C/m2/d,-1,22.9,m,0.17,g C/gO2,,,,,-2.98
Ward et al. (2018),Xingu,0.66 m/s,8.9,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-3.40
Ward et al. (2018),Xingu,0.66 m/s,6.4,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-2.44
Ward et al. (2018),Amazon,obidos at 0.22,7.8,g C/m2/d,-1,51.1,m,0.12,g C/gO2,,,,,-1.27
Ward et al. (2018),Amazon,obidos at 0.22,6.7,g C/m2/d,-1,54,m,0.12,g C/gO2,,,,,-1.03
Ward et al. (2018),Amazon,obidos at 0.22,9.8,g C/m2/d,-1,49.3,m,0.12,g C/gO2,,,,,-1.66
Ward et al. (2018),Amazon,stm at 0.22,6.9,g C/m2/d,-1,37.7,m,0.12,g C/gO2,,,,,-1.53
Ward et al. (2018),Amazon,stm at 0.22,8.8,g C/m2/d,-1,37.3,m,0.12,g C/gO2,,,,,-1.97
Ward et al. (2018),Amazon,almeirim at 0.22,7.2,g C/m2/d,-1,29,m,0.12,g C/gO2,,,,,-2.07
Ward et al. (2018),Amazon,almeirim at 0.22,5.6,g C/m2/d,-1,26.2,m,0.12,g C/gO2,,,,,-1.78
Ward et al. (2018),Amazon,almeirim at 0.22,6.2,g C/m2/d,-1,28.1,m,0.12,g C/gO2,,,,,-1.84
Ward et al. (2018),Amazon,almeirim at 0.22,5.9,g C/m2/d,-1,30.6,m,0.12,g C/gO2,,,,,-1.61
Ward et al. (2018),Amazon,north macapa at 0.22,2.1,g C/m2/d,-1,18.7,m,0.12,g C/gO2,,,,,-0.94
Ward et al. (2018),Amazon,north macapa at 0.22,4.5,g C/m2/d,-1,19,m,0.12,g C/gO2,,,,,-1.97
Ward et al. (2018),Amazon,north macapa at 0.22,2.3,g C/m2/d,-1,19.4,m,0.12,g C/gO2,,,,,-0.99
Ward et al. (2018),Amazon,north macapa at 0.22,2.6,g C/m2/d,-1,18.3,m,0.12,g C/gO2,,,,,-1.18
Ward et al. (2018),Amazon,south macapa at 0.22,4.1,g C/m2/d,-1,24.1,m,0.12,g C/gO2,,,,,-1.42
Ward et al. (2018),Amazon,south macapa at 0.22,5,g C/m2/d,-1,23.6,m,0.12,g C/gO2,,,,,-1.77
Ward et al. (2018),Amazon,south macapa at 0.22,4.6,g C/m2/d,-1,24.6,m,0.12,g C/gO2,,,,,-1.56
Ward et al. (2018),Amazon,south macapa at 0.22,4.6,g C/m2/d,-1,24.3,m,0.12,g C/gO2,,,,,-1.58
Ward et al. (2018),Tapajos,0.22 m/s,6,g C/m2/d,-1,24.03,m,0.17,g C/gO2,,,,,-1.47
Ward et al. (2018),Tapajos,0.22 m/s,7.5,g C/m2/d,-1,23.5,m,0.17,g C/gO2,,,,,-1.88
Ward et al. (2018),Tapajos,0.22 m/s,6.4,g C/m2/d,-1,22.9,m,0.17,g C/gO2,,,,,-1.64
Ward et al. (2018),Xingu,0.22 m/s,2.7,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-1.03
Ward et al. (2018),Xingu,0.22 m/s,5,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-1.91
Ward et al. (2018),Xingu,0.22 m/s,6.6,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-2.52
Ward et al. (2018),Xingu,0.22 m/s,4.3,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-1.64
Ward et al. (2018),Amazon,obidos no spin,3.6,g C/m2/d,-1,54,m,0.12,g C/gO2,,,,,-0.56
Ward et al. (2018),Amazon,obidos no spin,7.2,g C/m2/d,-1,49.3,m,0.12,g C/gO2,,,,,-1.22
Ward et al. (2018),Amazon,stm no spin,6.2,g C/m2/d,-1,37.3,m,0.12,g C/gO2,,,,,-1.39
Ward et al. (2018),Amazon,almeirim no spin,3.5,g C/m2/d,-1,30.6,m,0.12,g C/gO2,,,,,-0.95
Ward et al. (2018),Amazon,north macapa no spin,2.1,g C/m2/d,-1,18.3,m,0.12,g C/gO2,,,,,-0.96
Ward et al. (2018),Amazon,south macapa no spin,2.3,g C/m2/d,-1,24.6,m,0.12,g C/gO2,,,,,-0.78
Ward et al. (2018),Amazon,south macapa no spin,3.8,g C/m2/d,-1,24.3,m,0.12,g C/gO2,,,,,-1.30
Ward et al. (2018),Tapajos,no spin,3.6,g C/m2/d,-1,23.5,m,0.17,g C/gO2,,,,,-0.90
Ward et al. (2018),Tapajos,no spin,5.4,g C/m2/d,-1,22.9,m,0.17,g C/gO2,,,,,-1.39
Ward et al. (2018),Xingu,no spin,2.8,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-1.07
