# Site IDs have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration).  This file maps between site IDs (in the column labeled Sample_Name) and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information is repeated between the field metadata file and this file.,,,,,,,,,
Sample_Name,IGSN,Other_Name,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,State_or_Province,Country,Field_Program_Cruise
S56,IEPRS008N,N/A,46.620687,-120.626954,stream,Cowiche Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S63,IEPRS008O,N/A,46.041823,-120.573226,stream,Satus Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S67,IEPRS008P,N/A,46.855643,-120.483696,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S68,IEPRS008Q,N/A,46.855711,-120.484841,stream,Umtanum Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S71,IEPRS008R,N/A,46.968185,-120.691204,stream,Manastash Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S72,IEPRS008S,N/A,46.99491,-120.590443,stream,Manastash Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S73,IEPRS008T,N/A,46.98778012,-120.5710861,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S75,IEPRS008U,N/A,47.017577,-120.51748,stream,Wilson Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S77,IEPRS008V,N/A,46.625578,-120.583712,stream,Cowiche Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S79,IEPRS008W,N/A,46.763844,-120.456432,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S82,IEPRS008X,N/A,46.53837,-120.480372,stream,Ahtanum Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S83,IEPRS008Y,N/A,47.239586,-121.227415,stream,Cabin Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
T02,IEPRS008Z,Yakima at Mabton,46.232095,-119.999,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
T03,IEPRS0090,Yakima at Union Gap,46.530817,-120.470337,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
T05,IEPRS0091,N/A,46.728776,-120.713733,stream,Naches River,Washington,United States,US Department of Energy River Corridor Science Focus Area
T07,IEPRS0092,Yakima at Kiona,46.255319,-119.47405,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
